pid,order,file_name,label,_date,object_type,source,thumbnail,full
gbby-45g050,50,gbby-45g050.jpg,GBBY 45G/050: Steve Miller: Football Player - 1934,1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g050.jpg,/img/derivatives/simple/gbby-45g050/thumbnail.jpg,/img/derivatives/simple/gbby-45g050/fullwidth.jpg
gbby-45g051,51,gbby-45g051.jpg,GBBY 45G/051: Edgar (Rip) Miller: Football Player - c1922-1924,1922-1924,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g051.jpg,/img/derivatives/simple/gbby-45g051/thumbnail.jpg,/img/derivatives/simple/gbby-45g051/fullwidth.jpg
gbby-45g052,52,gbby-45g052.jpg,GBBY 45G/052: Wayne Millner: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g052.jpg,/img/derivatives/simple/gbby-45g052/thumbnail.jpg,/img/derivatives/simple/gbby-45g052/fullwidth.jpg
gbby-45g053,53,gbby-45g053.jpg,GBBY 45G/053: Wayne Millner: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g053.jpg,/img/derivatives/simple/gbby-45g053/thumbnail.jpg,/img/derivatives/simple/gbby-45g053/fullwidth.jpg
gbby-45g054,54,gbby-45g054.jpg,GBBY 45G/054: Wayne Millner: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g054.jpg,/img/derivatives/simple/gbby-45g054/thumbnail.jpg,/img/derivatives/simple/gbby-45g054/fullwidth.jpg
gbby-45g055,55,gbby-45g055.jpg,GBBY 45G/055: Thomas (Tom) Mills: Assistant Football Coach - c1926-1929,1926-1929,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g055.jpg,/img/derivatives/simple/gbby-45g055/thumbnail.jpg,/img/derivatives/simple/gbby-45g055/fullwidth.jpg
gbby-45g056,56,gbby-45g056.jpg,GBBY 45G/056: Thomas (Tom) Mills: Assistant Football Coach - c1926-1929,1926-1929,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g056.jpg,/img/derivatives/simple/gbby-45g056/thumbnail.jpg,/img/derivatives/simple/gbby-45g056/fullwidth.jpg
gbby-45g057,57,gbby-45g057.jpg,GBBY 45G/057: Tim Murphy: Football Player - c1921-1923,1921-1923,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g057.jpg,/img/derivatives/simple/gbby-45g057/thumbnail.jpg,/img/derivatives/simple/gbby-45g057/fullwidth.jpg
gbby-45g058,58,gbby-45g058.jpg,GBBY 45G/058: Martin (Marty) Peters: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g058.jpg,/img/derivatives/simple/gbby-45g058/thumbnail.jpg,/img/derivatives/simple/gbby-45g058/fullwidth.jpg
gbby-45g059,59,gbby-45g059.jpg,GBBY 45G/059: Richard (Dick) Pfefferle: Football Player - c1932-1935,1932-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g059.jpg,/img/derivatives/simple/gbby-45g059/thumbnail.jpg,/img/derivatives/simple/gbby-45g059/fullwidth.jpg
gbby-45g060,60,gbby-45g060.jpg,GBBY 45G/060: Andrew (Andy) Pilney: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g060.jpg,/img/derivatives/simple/gbby-45g060/thumbnail.jpg,/img/derivatives/simple/gbby-45g060/fullwidth.jpg
gbby-45g061,61,gbby-45g061.jpg,GBBY 45G/061: Andrew (Andy) Pilney: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g061.jpg,/img/derivatives/simple/gbby-45g061/thumbnail.jpg,/img/derivatives/simple/gbby-45g061/fullwidth.jpg
gbby-45g062,62,gbby-45g062.jpg,GBBY 45G/062: Andrew (Andy) Pilney: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g062.jpg,/img/derivatives/simple/gbby-45g062/thumbnail.jpg,/img/derivatives/simple/gbby-45g062/fullwidth.jpg
gbby-45g063,63,gbby-45g063.jpg,GBBY 45G/063: Henry Pojman: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g063.jpg,/img/derivatives/simple/gbby-45g063/thumbnail.jpg,/img/derivatives/simple/gbby-45g063/fullwidth.jpg
gbby-45g064,64,gbby-45g064.jpg,GBBY 45G/064: Bob Reagan: Football Player - c1921-1923,1921-1923,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g064.jpg,/img/derivatives/simple/gbby-45g064/thumbnail.jpg,/img/derivatives/simple/gbby-45g064/fullwidth.jpg
gbby-45g065,65,gbby-45g065.jpg,GBBY 45G/065: Frank Reese: Football Player - c1921-1924,1921-1924,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g065.jpg,/img/derivatives/simple/gbby-45g065/thumbnail.jpg,/img/derivatives/simple/gbby-45g065/fullwidth.jpg
gbby-45g066,66,gbby-45g066.jpg,GBBY 45G/066: Jack Robinson: Football Player - c1932-1934,1932-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g066.jpg,/img/derivatives/simple/gbby-45g066/thumbnail.jpg,/img/derivatives/simple/gbby-45g066/fullwidth.jpg
gbby-45g067,67,gbby-45g067.jpg,GBBY 45G/067: Matt Ronzone: Football Player - c1934,1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g067.jpg,/img/derivatives/simple/gbby-45g067/thumbnail.jpg,/img/derivatives/simple/gbby-45g067/fullwidth.jpg
gbby-45g068,68,gbby-45g068.jpg,GBBY 45G/068: Rocco Schiralli: Football Player - c1932-1934,1932-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g068.jpg,/img/derivatives/simple/gbby-45g068/thumbnail.jpg,/img/derivatives/simple/gbby-45g068/fullwidth.jpg
gbby-45g069,69,gbby-45g069.jpg,GBBY 45G/069: Paul Schrenker: Football Player - c1933-1934,1933-1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g069.jpg,/img/derivatives/simple/gbby-45g069/thumbnail.jpg,/img/derivatives/simple/gbby-45g069/fullwidth.jpg
gbby-45g070,70,gbby-45g070.jpg,GBBY 45G/070: William (Bill) Shakespeare: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g070.jpg,/img/derivatives/simple/gbby-45g070/thumbnail.jpg,/img/derivatives/simple/gbby-45g070/fullwidth.jpg
gbby-45g071,71,gbby-45g071.jpg,GBBY 45G/071: William (Bill) Shakespeare: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g071.jpg,/img/derivatives/simple/gbby-45g071/thumbnail.jpg,/img/derivatives/simple/gbby-45g071/fullwidth.jpg
gbby-45g072,72,gbby-45g072.jpg,GBBY 45G/072: William (Bill) Shakespeare: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g072.jpg,/img/derivatives/simple/gbby-45g072/thumbnail.jpg,/img/derivatives/simple/gbby-45g072/fullwidth.jpg
gbby-45g073,73,gbby-45g073.jpg,GBBY 45G/073: William (Bill) Shakespeare: Football Player - c1933-1935,1933-1935,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g073.jpg,/img/derivatives/simple/gbby-45g073/thumbnail.jpg,/img/derivatives/simple/gbby-45g073/fullwidth.jpg
gbby-45g074,74,gbby-45g074.jpg,GBBY 45G/074: Richard (Dick) Shamla: Football Player - c1934,1934,glass plate negative,http://archives.nd.edu/Bagby/GBBY-45g074.jpg,/img/derivatives/simple/gbby-45g074/thumbnail.jpg,/img/derivatives/simple/gbby-45g074/fullwidth.jpg
